asset,kalshi_ticker,poly_slug,direction,window_start,close_time,combined_cost,cost_a,cost_b,logged_at,kalshi_outcome,polymarket_outcome,payout,profit,settled_at
ETH,KXETH15M-26SEP091545-45,eth-updown-15m-1788982200,A,2026-09-09T19:30:00+00:00,2026-09-09T19:45:00Z,0.79,0.79,1.21,2026-09-09T19:31:06.846428+00:00,down,down,1.0,0.21,2026-09-09T20:06:25.411361+00:00
BTC,KXBTC15M-26SEP091600-00,btc-updown-15m-1788983100,A,2026-09-09T19:45:00+00:00,2026-09-09T20:00:00Z,0.73,0.73,1.27,2026-09-09T19:50:22.377346+00:00,down,down,1.0,0.27,2026-09-09T20:33:19.832290+00:00
ETH,KXETH15M-26SEP091600-00,eth-updown-15m-1788983100,A,2026-09-09T19:45:00+00:00,2026-09-09T20:00:00Z,0.79,0.79,1.21,2026-09-09T19:50:16.729987+00:00,down,down,1.0,0.21,2026-09-09T20:34:50.950418+00:00
BTC,KXBTC15M-26SEP091530-30,btc-updown-15m-1788981300,B,2026-09-09T19:15:00+00:00,2026-09-09T19:30:00Z,0.79,1.21,0.79,2026-09-09T19:15:51.031183+00:00,up,up,1.0,0.21,2026-09-09T20:45:24.395216+00:00
ETH,KXETH15M-26SEP091615-15,eth-updown-15m-1788984900,A,2026-09-09T20:15:00+00:00,2026-09-09T20:15:00Z,0.561,0.561,1.43,2026-09-09T20:15:20.773419+00:00,up,down,0.0,-0.561,2026-09-09T20:49:13.779238+00:00
ETH,KXETH15M-26SEP091630-30,eth-updown-15m-1788984900,A,2026-09-09T20:15:00+00:00,2026-09-09T20:30:00Z,0.79,0.79,1.21,2026-09-09T20:24:01.623538+00:00,down,down,1.0,0.21,2026-09-09T20:49:13.779238+00:00
BTC,KXBTC15M-26SEP091630-30,btc-updown-15m-1788985800,B,2026-09-09T20:30:00+00:00,2026-09-09T20:30:00Z,0.371,1.62,0.371,2026-09-09T20:30:21.462358+00:00,down,up,0.0,-0.371,2026-09-09T21:00:24.841671+00:00
ETH,KXETH15M-26SEP091700-00,eth-updown-15m-1788986700,A,2026-09-09T20:45:00+00:00,2026-09-09T21:00:00Z,0.78,0.78,1.22,2026-09-09T20:48:21.139489+00:00,up,up,1.0,0.22,2026-09-09T21:12:22.738851+00:00
ETH,KXETH15M-26SEP091730-30,eth-updown-15m-1788988500,A,2026-09-09T21:15:00+00:00,2026-09-09T21:30:00Z,0.77,0.77,1.23,2026-09-09T21:17:09.864525+00:00,up,up,1.0,0.23,2026-09-09T21:46:31.597944+00:00
BTC,KXBTC15M-26SEP091745-45,btc-updown-15m-1788989400,B,2026-09-09T21:30:00+00:00,2026-09-09T21:45:00Z,0.79,1.21,0.79,2026-09-09T21:38:15.030225+00:00,down,down,1.0,0.21,2026-09-09T21:56:14.424085+00:00
ETH,KXETH15M-26SEP091800-00,eth-updown-15m-1788990300,A,2026-09-09T21:45:00+00:00,2026-09-09T22:00:00Z,0.79,0.79,1.21,2026-09-09T21:48:27.489986+00:00,down,down,1.0,0.21,2026-09-09T22:06:03.021057+00:00
BTC,KXBTC15M-26SEP091815-15,btc-updown-15m-1788992100,B,2026-09-09T22:15:00+00:00,2026-09-09T22:15:00Z,0.511,1.48,0.511,2026-09-09T22:15:20.548721+00:00,down,up,0.0,-0.511,2026-09-09T22:38:49.587332+00:00
BTC,KXBTC15M-26SEP091830-30,btc-updown-15m-1788992100,B,2026-09-09T22:15:00+00:00,2026-09-09T22:30:00Z,0.74,1.26,0.74,2026-09-09T22:16:51.354924+00:00,up,up,1.0,0.26,2026-09-09T22:38:49.587332+00:00
ETH,KXETH15M-26SEP091830-30,eth-updown-15m-1788992100,B,2026-09-09T22:15:00+00:00,2026-09-09T22:30:00Z,0.76,1.24,0.76,2026-09-09T22:18:18.547457+00:00,up,up,1.0,0.24,2026-09-09T22:42:26.122592+00:00
BTC,KXBTC15M-26SEP091845-45,btc-updown-15m-1788993000,B,2026-09-09T22:30:00+00:00,2026-09-09T22:45:00Z,0.73,1.27,0.73,2026-09-09T22:37:16.107065+00:00,down,down,1.0,0.27,2026-09-09T22:55:01.213864+00:00
BTC,KXBTC15M-26SEP091900-00,btc-updown-15m-1788993900,A,2026-09-09T22:45:00+00:00,2026-09-09T23:00:00Z,0.74,0.74,1.26,2026-09-09T22:52:40.037885+00:00,down,down,1.0,0.26,2026-09-09T23:03:11.916223+00:00
